향수_이름,향수_설명,향수_name
에따 리브르 도랑쥬 위대한분비물,"이 향수는 인간의 본능적인 아드레날린을 형상화한 것이라고 하는데, 매우 복잡하고 실험적인 향을 지니고 있어요. 강렬하고 독특한 향으로, 약간의 역겨움이 느껴지기도 하며, '토할 때 맡았을 냄새'라는 표현으로 어떤 불쾌감을 전할 것 같아요... 신선한 마린 냄새가 느껴지기도 하지만, 그 속에 극단적인 강한 향이 섞여 있어 복잡한 느낌을 줍니다.",Etat Libre d'Orange Remarkable People
파누즈 파출리 피그,"특이한 향이 나며, 어떤 향수를 사용했을 때의 느낌을 떠올리게 한다. 약한 여름의 질 냄새가 나는 것 같고, 허브의 향이 느껴진다. 마치 병원에서 처방받은 것 같은 향이 나며, 불도 섞인 향이 느껴지기도 한다. 매우 이상하고 강렬한 향으로, 이런 향이 존재할 수 있을까 하는 의문을 자아냈습니다.",Panouze Patchouli Fig
엑스노힐로 베스퍼 글리츠,"빛나고 쾌활한 파리의 밤을 기념하는 향수입니다. 밝고 소프트한 향이에요. 사랑이 넘치는 밤의 향기를 표현한 것이구나라는 생각이 들었죠. 뿌린 직후에는 톡톡 튀는 핑크페퍼랑 상큼한 시트러스 향이 곁들여진 미모사 향기가 나요. 매혹적인 미모사 향이랑 자스민, 일랑일랑 등의 꽃 향기도 퍼집니다. 이때 옐로우 플라워 향들이 금빛으로 빛나는 파리의 밤을 연상케 하고요. 잔향에서의 소프트하고 따뜻한 바닐라, 머스크 통합인 향들이 파리라는 도시를 떠올렸을 때 생기는 그 로맨틱하고 몽글몽글한 감성을 표현하는 것 같았습니다.",Ex Nihilo Vesper Glitz
엑스노힐로 상탈 콜링,포근하고 자연적인 상타향의 샌달우드향이 중심이 되는 향수인데요. 전체적으로 뽀얀 우유랑 캐시미어가 싹 감싸고 있는듯한 느낌입니다. 아주 부드럽고 편안해요. 베이스 노트에 그 바닐라와 머스크향이 완전 살냄새처럼 자연스럽게 남아서 딱 지금 한국인들이 좋아할 스타일의 향수입니다.,Ex Nihilo Santal Calling
엑스노힐로 플뢰르 나르코티끄,"섬세한 작약꽃 향기로 느껴지는데, 때로는 만개한 꽃이랑 과즙이 넘쳐 흐르는 과일들이 가득한 그런 풍성한 프로틴 플로럴 향으로 느껴지기도 하는 향수입니다. 복숭아와 리치, 베르가모 등의 상큼한 과일향이랑 세련된 피오니 향이 어우러졌어요. 화사한 향기를 가지고 있기도 하죠.",Ex Nihilo Fleur Narcotique
엑스노힐로 콜론 352,딱 뿌리자마자 아주 새콤하고 깨끗한 레몬향이랑 주니퍼베리의 중성적인 허브향이 확 나서요. 아주 청량해요. 그리고 곧이어서 오렌지 블라썸이랑 가이아 구도 향 등이 어우러져서요. 화사한 봄에 파리 7일 정원을 거니는 산책에서 영감을 받은 향이에요.,Ex Nihilo Cologne 352
엑스노힐로 바이퍼 그린,"퇴폐적이고 호화로운 그린플라워라는 문장으로 표현되는 향수인데요. 뿌리자마자 초 고급스러운 풀향이 확 퍼져요. 풀밭이라던가 숲이 떠오르는 향인데 잔향으로 갈수록 좀 치명적인 느낌의 향으로 변합니다. 씁쓸하고 짜릿한 느낌이 있는 패출리랑 베티버향, 그리고 약간 어두운 바이브에 꽃향기가 섞인 향으로 마무리가 됩니다.",Ex Nihilo Viper Green
엑스노힐로 더 헤도니스트,"시크한 우디 향이에요. 살짝 톡 쏘는 진저 향이랑 베르가모 향, 그리고 아키갈라우드라는 스파이시한 나무향에 어우러진 향기가 풍겨옵니다. 전체적으로 좀 생동감 있고 역동적인 이미지입니다. 현대적인 우디 향이 나면서도 뭔가 자연으로 여행을 떠나는듯한 분위기를 만들어 줘요.",Ex Nihilo The Hedonist
메종 프란시스 커정 아쿠아 미디어,이 향수는 행복과 배려 생명과 에너지 단순함에서 오는 확신의 향기라는 컨셉을 가지고 있는 제품인데요. 현실적으로 표현을 해보자면 헤드앤숄더 샴푸 같은 엄청 상쾌하고 개운한 느낌이 드는 샴푸로 머리 감고 나온듯한 느낌의 향입니다. 상큼한 레몬향이랑 버베나의 가벼운 허브향 그리고 시원한 차향이 메인이 되는 향수라고 할 수 있고요. 거기에 풋풋한 풀 향과 약간의 우디함까지 곁들여졌습니다. 그래서 이 향수는 막 엄청 새롭고 유니크한 향수를 원하시는 분들보다는 쉽게 쓸 수 있는 여름 향수이면서도 메종 프란시스 커정이라는 리치 퍼퓸 브랜드가 가지고 있는 한 끗 차이의 고급스러운 터치가 있는 그런 향수를 원하는 분들에게 추천을 하고 싶습니다. 이거를 뿌리는 순간 뭔가 내 주변의 온도가 좀 낮아질 것 같은 그런 쿨한 신선함이 있으면서도 깔끔한 상큼함까지 더해진 향이라서요. 여름에 쓰기에 너무 좋고 성별이나 나이에 가리지 않고 남녀노소 누구에게나 잘 어울릴 향기입니다.,Maison Francis Kurkdjian Aqua Media
도르세 이큐,사랑하는 사람과 키스할 때 연인에 입술에 발려있는 립스틱을 향해서 영감 받은 향수예요. 처음에는 밝고 달콤한 핑크페퍼 향이 톡톡 터져요. 그리고 곧이어서 아이리스 꽃향기가 퍼지는데 아이리스 양이 과하지 않게 파우더리하고 베이스 노트에 그 포근한 캐시메랑과 은은하게 어우러져서요. 흔히 우리가 살냄새 향수다라고 분류하는 장르라고 할 수 있습니다. 뭔가 메이크업 좀 신경 하고 예쁘게 꾸민 여자친구랑 밖에서 한 데이트 2~3시간 정도 했을 때 그때 내 여자친구한테서 날 것 같은 냄새날까요. 그만큼 향이 그렇게 느껴져요. 되게 은은한 향수고 포근하고 섬세한 달콤함이 섞인 플로럴 향을 좋아한다면 추천을 하고 싶은 제품입니다.,Dorsey Icue
이솝 글롬,일단 히노끼탕이 떠오르는 편백나무 냄새랑 이솝 매장에서 나는 그 특유의 허브향 그리고 부드럽고 스윗한 꽃향기 그리고 향신료 향이 섞인 향수라고 할 수 있습니다. 이 향신료향은 사람에 따라서는 약간 멕시칸 음식점 뭐 인도 음식점 혹은 말한 냄새 요렇게 느껴질 수도 있을 정도로 확실히 이국적인 스파이시함이 있습니다. 그리고 그 스파이시함이 그렇게 과하지 않다고 느껴졌습니다. 그래서 이 글로는 휠보다 더 포근하고 부드럽고 밝은 느낌입니다. 확실히 미모사를 비롯해서 자스민 오렌지 플라워 등의 플로럴 향해 더해진 향이기 때문에 향이 좋기는 한데 너무 막 나무 인간 이런 느낌이라서 아 막 나무 인간 이런 느낌이라서 휠이 좀 손이 잘 안 갔던 분들에게 대안으로 추천을 해드리고 싶은 향수입니다.,Aesop Gloam
꾸레쥬 라 필르 드 르에어,"화사하고 깨끗하고 예쁜 꽃향기가 납니다. 오렌지 꽃이 사이다에 빠진 것 같은 향, 상큼하고 스파클링한 베르가모이랑 네롤리 향으로 시작을 했다가 깨끗한 화이트 머스크가 긴 오렌지 블라섬 향으로 이어지는 향수입니다. 되게 웨어러블한 향으로 느껴집니다. 되게 은은한 향인데 비해서 지속력과 확산력은 나쁘지 않았고요, 4계절 내내 잘 어울릴 것 같은 향수입니다.",Courrèges La Fille de L'Air
입생로랑 와이 오드뚜왈렛,이 향수를 처음에 딱 뿌렸을 때는 달콤한 사과향이랑 상큼한 레몬향이 옅은 스킨 향과 함께 느껴집니다. 이 때 여기서 느껴지는 스킨향은 아버지의 스킨향이 아닌 프레시하고 젊은 느낌이에요. 프레쉬하고 젊은 느낌이고 달콤한 과즙향과 섞여 있어서 부담스럽지 않습니다. 잔향에서는 아주 깔끔한 우디 머스크향이 남아요.,Yves Saint Laurent Y Eau de Toilette
프라다 레스 인퓨전 디 프라다 아이리스 세더,"뽀득뽀득 거품을 가득 낸 비누가 떠오른 향기입니다. 그 비누가 왠지 회색일 것 같아요. 샤랄라하고 막 달달한 비누 냄새는 아니라는 거죠. 세탁소의 냄새 같기도 하고, 희뿌연 스팀의 느낌 청결함 이런 것들이 다 복합적으로 느껴지는 향수거든요.",Prada Les Infusions de Prada Iris Cedar
펜할리곤스 엔드미온,"이 향은 마치 원목으로 인테리어 된 분위기 좋은 카페에서 스웨이드 자켓을 입고 일하고 있는 훈남 바리스타에게서 날 법한 향기입니다. 따뜻한 스웨이드 향, 약간의 남자 스킨 향 그리고 은근한 커피 원두 냄새가 어우러진 향이거든요.",Penhaligon's Endymion
불리 오 트리쁠 마카사르,마치 동남아 열대우림에 들어간듯한 이국적인 나무향이 확 나고요. 담뱃잎의 스모키한 향도 살짝 나서 약간 다크한 느낌입니다. 묘한 매력이 있는 오리엔탈 계열 향수예요.,Buly 1803 O Triple Macassar
자크 파뜨 에쌍씨엘 그린 워터,"매우 상쾌하고 깨끗한 민트향이랑 바질향, 그리고 시트러스 향과 초록초록한 향이 확 몰려오거든요. 각종 풀과 허브향이 기분 좋게 풍겨오는 드넓은 필드가 떠오르는 향이라서.",Jacques Fath Essenciel Green Water
메모 파리 케두,약간 씁쓰름한 자몽향으로 시작해서 고소하고 포근한 견과류 향이 은근하게 이어지고요. 마테차 향도 솔솔납니다. 개성 있으면서도 어렵지 않은 편안한 향이에요.,Memo Paris Kedu
아쿠아디파르마 릴리 오브 더 밸리,"5월달에 풍경을 딱 떠올려 보면은 너무 뜨겁지는 않은 햇살이 푸른 들판에 싹 비치고 꽃들이 생동감있게 피어나고 사람들은 막 다 행복하게 웃고 있는 모습이 연상됩니다. 그런 무드를 가장 잘 표현할 수 있는 향조 중에 하나가 은방울꽃 향기라고 생각하는데요. 수줍게 피어난 흰 꽃의 부드러운 향기랑 싱그러운 풀잎향이 같이 납니다. 투명한 화이트 플루를 향해 은은하게 퍼지는데, 잔향이 비누 냄새처럼 남아서 참 좋았습니다. 마치 싱그러운 은방울꽃의 꽃잎이랑 풀잎을 전부 따다가 약간의 자몽이랑 블랙커런트와 함께 섞어서 연두빛의 물비누를 만들었다면 딱 이런 향이 날 것 같습니다. 파우더리하고 하얀 도브비누 같은 그런 산뜻 달콤한 물비누를 떠올리게 하는 향입니다. 청순한 느낌이 있으면서도 편하게 일상적으로 사용하기 좋은 향입니다.",Acqua di Parma Lily of the Valley
펜할리곤스 더 페이버릿,"향수가 딱 부내나는 향기인데, 클래식하고 앤티크한 느낌이다. 미모사나 아이리스처럼 아주 포슬포슬한 꽃향기랑 포근한 머스크향이 어우러진 향수이다. 아주 입자가 곱고 뽀얀 파우더에 핑크빛 달콤함을 살짝 가미한 고운 향기이다. 이 향수는 하얀색의 여리여리한 니트를 입었을 때 뿌리면 너무 잘 어울릴 향기인데, 단정하고 착한 느낌의 옷보다는 약간의 심상치 않음이 살짝 있는 니트를 입었을 때 뿌리고 싶은 향수입니다. 파우더리한 머스크향이 섞인 꽃향기입니다.",Penhaligon's The Favourite
구딸 쁘띠뜨 쉐리,잘 익은 서양 배를 착즙해서 배 주스를 한 짝 만든 다음에 거기에 깨끗하게 씻은 복숭아를 썰어 얹은 느낌으로 느껴져요. 진짜 상큼 달콤한 향인데 이게 찐득하다거나 무거운 달콤함이 아니라 가볍고 청량한 풀 향입니다. 잔향에서는 장미랑 라일락 같은 꽃 향기랑 화이트 머스크 향이 남아서 은은하고 포근하게 느껴집니다. 전반적으로 향해 이미지가 러블리하고 웨어러블한 향이거든요.,Goutal Petite Chérie
구딸 뒤엘,되게 중성적인 향입니다. 차향이 나는데 홍차향같기도 하고 마테차 같기도 한 그런 살짝 쌉싸름 하면서도 향긋한 향이 솔솔 나면서 은은한 나무 향도 같이 나거든요. 부드럽고 포근해요. 그래서 이걸 뿌리면 마치 하루 일과를 다 끝내고 포근한 침대에 앉아서 차 한잔 하고 있는 듯한 기분이 들거든요. 잘 때 뿌리는 향수로도 참 적절하다는 생각이 들고 룸 스프레이처럼 뿌리면 감각적인 분위기가 연출될 것 같아요.,Goutal Duel
구딸 릴 오 떼,"귤 껍질이나 뭐가 이런 과일들이 떠오르는 새콤한 향이 나요. 그리고 곧바로 굉장히 맑은 녹차향이 느껴지는데, 사실 녹차 향을 표방한 향수들은 대부분 진짜 녹차가 떠오른 향이 아니라 그냥 그린티가 컨셉인 향수 느낌이잖아요. 분명히 녹차 특유의 맑은 느낌을 훌륭하게 구현한 향수는 맞다고 생각을 해요. 제주도처럼 자연적이고 싱그러운 느낌의 향수고요.",Goutal L'Eau d'Hadrien
프라다 루나 로사,"너무 강한 스킨 향은 아니라 깨끗한 느낌, 단정한 느낌, 잘 정재된 느낌의 스킨 향입니다. 잔향으로 가면 갈수록 스킨 냄새들이 많이 빠지는데요. 데일리용으로 너무 좋고 유니크하게 느껴집니다. 처음에는 프레쉬 스킨 향으로 옅게 시작했다가 뒤로 갈수록 깨끗한 비누 같은 것이 떠오르는 향입니다. 계속 볼 때마다 편안하고 진국인 남자 느낌의 향수입니다. ",Prada Luna Rossa
프레데릭 말 포트레이트 오브 레이디,"알게 모르게 존재감 뿜뿜하고 싶을 때 뿌리는 향수 같습니다. 약간 장미 향이 나는데, 많은 사람들이 생각하는 장미가 아닌 느낌입니다. 처음 맡았으면 장미인지 몰랐을 것 같고, 고급스러운 꽃 향이 느껴집니다. 이국적인 장미향이 있고 스파이시하고 스모키한 느낌이 베이스에 깔려 있습니다. 붉은 장미를 향초 사이에 놓아놓은 듯한 느낌이 들어요.",Frederic Malle Portrait of a Lady
에따 리브르 도랑쥬 헤르만,"지하실 냄새 같은 느낌이 나며, 서늘하고 한한 느낌이 있어요. 사람에 비유하자면 너드인데 잘생긴 너드? 옷도 후즐근하게 입었는데 그 모습이 좋아보이는 느낌입니다. 이것처럼 서늘하고 냉기나 한기가 있는 향은 잘 없는 것 같아요. 어두운 동굴에 들어간 느낌, 눅눅하고 위에서 물이 뚝뚝 떨어지는 것 같은 바이브가 느껴집니다.",Etienne de Montille D'Orange Hermès
비디케이 그리 샤르넬,그냥 좋은 향입니다. 그냥 후각적으로 만족되는 향 같아요. 무화과의 달큰한 향인데 관능적이고 도시적이라 더 좋은 것 같아요. 사람의 향을 만끽하고 싶은 느낌이 든다고 해야하나? 그렇습니다. 중성적인 여자가 뿌려도 잘 어울리는 향입니다.,VidiKey Gris Charnel
메종 프란시스 커정 바카라 루즈 540,"얼린 요구르트 뒤로 뜯어먹는 향처럼 달콤한 맛이 느껴지며, 약간의 메탈릭한 쇠 냄새가 살짝 있어요. 이 단내에 약간 트위스트를 줘서 럭셔리하고 고급스러운 느낌을 주며, 과시하지 않는 남자의 이미지가 떠오릅니다. 고급스러운 남자와 잘 어울리는 향입니다. 콰이어트 럭셔리를 추구하는 향 같았어요.",Maison Francis Kurkdjian Baccarat Rouge 540
논픽션 더 베이지,"더 베이지는 소녀같고 청순하고 때 지 않은 느낌이라면 중성적인 우디향이 섞인 플로럴 머스크 향이라서 우리 한국인들이 생각하는 막 티 없이 맑고 예쁜 살 냄새, 첫사랑에서 나던 비누향 요런 거는 솔직히 좀 아니라고 생각했어요. 논픽션다운 세련된 무드입니다. 뿌리자마자 제라늄과 오리스의 따뜻하고 화사한 꽃향기가 포문을 열어요. 단내는 거의 없고 뽀송뽀송하고 파우더리한 플로럴 향이 밀도 없게 느껴집니다. 그러니까 꽃잎만 따서 만든 플로럴 향이라 보다는 꽃의 뿌리까지 다 넣은듯한 향이라서 흑미도우 좀 더스티하다는 뉘앙스까지 받았습니다. 통카빈의 포근함이 잔향까지 남아서 은은하게 지속되는 향이에요. 발향력이 강하진 않아서 라이트하지만 오래 피부에 남아 있는 그런 향을 원하시는 분에게 추천하고 싶습니다.",Nonfiction The Beige
논픽션 더 그레이,"더 그레이는 더 강렬하고 관능적이고 세상의 풍파를 다 겪고 이겨낸 그런 사람이 떠오르는 향이라고 하던데요. 개인적인 선호도로 따지자면 더 그레이가 조금 더 제 취향입니다. 뿌리자마자 시나몬향이 나고 인센스 향이 시작하는데 너무 강하진 않습니다. 미들 노트에는 오스만투스 메그놀리아 같은 플로럴 향기가 포함돼 있는데, 일반적으로 그런 꽃향기가 사용된 향수들은 상콤 달콤함을 느끼거든요. 근데 여기서는 그런 상콤달콤함은 없어요. 확실히 더 우아한 바이브가 있고요. 더 그레이는 약간 서늘하게 절제된 느낌의 머스크 향입니다.",Nonfiction The Grey
줄리엣 헤즈 어 건 엑스 베티버,"베티버 향이 메인인 향수인데, 처음에 뿌렸을 때는 상큼한 시트러스 향과 함께 상쾌한 허브향이 있습니다. 되게 가볍고 깨끗한 오프닝이라 저는 처음에는 크리드 오리지널 베티버 좋아하는 사람이라면 이것도 좋아하겠다 싶었어요. 청량하면서도 자연적인 향으로 포을 엽니다. 시간이 지날수록 꽤나 드라이한 우디향으로 변하더라고요. 처음에 상큼한 레몬 풀 비노 향과는 달리 초록초록한 식물의 뿌리에서 날법한 씁스름한 향이 퍼집니다. 약간 스모키 하다고 느껴질 정도의 우디한 베티버 향이 이어져요.",Juliette Has a Gun X Vetiver
메종 프란시스 커정 아폼,"처음에 뿌리자마자 화한 라벤더 향이 남입니다. 굉장히 풍성하면서도 살짝 꼬릿한 화이트 플라워 향이 나요. 잔향에서 바닐라와 엠버 화이트 마스크에 포근하면서도 달달한 부드러움이 남습니다. 모든 향조 구성들이 되게 직관적이어서 처음에 라벤더 향은 진짜 우리가 익히 알고 있는 라벤더 향이고, 베이스노트의 엠버리 바닐라 머스크 향 역시도 너무 어렵거나 특이하지 않게 조화롭게 마무리가 됩니다.",Maison Francis Kurkdjian A La Rose
불리 레 자뎅 프랑세 오 트리쁠 크레송,"초록초록한 풀 향이 물냉이와 파슬리 향이 조화를 이룬 향인데요. 건강한 음료판은 카페에서 파는 그린 주스 향처럼 신선하고 기분이 좋아지는 느낌입니다. 달달하거나 상큼한 느낌은 없고, 소박한 식물 채소 혹은 초록색의 향신료들의 냄새가 프레시하게 납니다.",Buly 1803 Les Jardins Français au Triple Crème
러쉬 솔티 보디 스프레이,"바다의 침식된 오래된 나무 냄새라고 할 수 있습니다. 상쾌하면서도 짭조름한 우디향이 느껴지며, 약간 죽은 나무 냄새 같은 그런 향으로도 느낄 수 있습니다. 해안가에 강한 파도와 바람에 노출된 풍화된 나무 냄새가 납니다.",Lush Salted Body Spray
로이비 타임 앤 모스,"편백나무 냄새가 훅 나면서 숲속 온천이 떠오르는 스파이시 아로마 향도 섞여 있습니다. 흙 묻은 이끼 냄새도 언뜻 느껴지며, 한국이나 일본의 고즈넉한 사우나에서 날 법한 향으로 느껴집니다. 온몸에 피로가 싹 풀린 듯한 기분을 선사해주는 향입니다.",Loewe Time and Moss
트루사르디 르비디 밀라노 알바수이 나빌리,"시트러스 허브향인데도 지속력이 좋습니다. 상큼한 과일의 느낌이 잘 느껴지는 제품입니다. 풀과 허브의 향도 꽤 많이 나고요, 인공적인 달달함이 아니라 살짝 쌉쌀한 상큼함이 있습니다.",Trussardi Rebelle Milano Albasui Nabili
펜할리곤스 리퀴드 러브,부드럽고 달콤한 장미향이 나는데요 그 속에 스파이시함이 이렇게 쏙쏙 튀어나오는 거 같아요. 이렇게 스파이시한 향신료를 품고 있는 커다란 한 장미 꽃봉오리가 떠오른다까 근데 그 스파이시함이 진짜 우리가 막 고추를 이렇게 반찬으로 먹는듯한 그런 느낌은 아닌 거 같고 장미 꽃이랑 각종 향신료 알싸 허브 이런 것들을 조화롭게 정돈해 둔 느낌입니다. 어 뭔가 채소처럼 아삭하고 그린한 느낌도 분명히 있긴 하지만 거기에 얼시 바이브가 더 해줬고요 뻔한 장미향이 아니라 약간의 트위스트가 있는 장미 향이라서 오히려 저는 더 좋았어요.,Penhaligon's Liquid Love
까사모라티 다마 비앙카,파우더리 바닐라 머스크 계열의 향이에요 근데 막 너무 달거나 숨 막힐 정도로 짙은 파우더 향이 아니라 딱 적절하게 포근하고 적절하게 달콤하다는 게 이 향수의 가장 큰 장점이라고 생각을 합니다. 요걸 처음 딱 뿌렸을 때는 신선한 금귤 향이 나는데요 곧이어서 바로 뽀얗고 풍성한 백합 향기랑 퐁신퐁신 바닐라 머스크 향이 어울어집니다. 그리고 파우더리한 아이리스 꽃향기도 함께 나는데 굉장히 우아한 무드에요.,Casamorati Dama Bianca
발렌티노뷰티 본 인 로마 핑크,상큼하고 톡 쏘는 시트러스 향에서 섞인 자스민 향으로 시작을 해서 부드러운 캐시메랑과 바닐라향 그리고 약간의 우디향으로 마무리되는 향입니다. 핑크빛의 로맨틱한 분위기가 느껴지는 향이에요. 그래서 제가 이 향수를 딱 뿌렸을 때 연상되는 분위기는 이제 막 동이 트기 시작하는 시간에 유럽의 아름다운 주택가를 걷고 있는듯한 모습이었어요. 주변에는 핑크색 꽃들이 화사하게 피어 있고 일출을 연상시키는 부드럽고 따뜻한 빛들이 감싸고 있는듯한 기분이죠. 그래서 이 향수는 낭만적인 성향이 있는 사람이 떠오르는 향이다라고 생각했습니다.,Valentino Beauty Born in Roma Pink
발렌티노뷰티 본 인 로마 핑크 우오모,"쿨한 남자 스킨 향이 나는데요, 산뜻한 바이올린 리프랑 아로마틱한 세일즈향도 같이 느껴집니다. 그리고 잔향에서는 흙냄새 같은 액티브 향이 나와요. 시원한 아쿠아틱 바이브랑 편안한 식물 향이 공존하고 있는 향수기 때문에 언제 어디서든 데일리용으로 사용하기 좋은 향입니다.",Valentino Beauty Born in Roma Pink Uomo
발렌티노뷰티 본 인 로마 옐로우,로마의 첫 번째 햇살을 담은 향기에요. 피온이 장미 등의 가볍고 이지한 꽃향기랑 캐주얼한 화이트 머스크향에 어우러져서 전반적으로 부담없이 데일리하게 즐길 수 있는 달콤한 플로럴 머스크향입니다. 저는 이 향을 맡았을 때 도심 한복판에 있는 고급스러운 호텔에 수영장에 가서 휴식을 취하고 있는 모습이 연상됐어요. 컬러풀한 옷이나 수영복을 입고 따뜻한 태양을 느끼면서 선탠을 하는듯한 여유롭고 기분 좋은 향기입니다.,Valentino Beauty Born in Roma Yellow
발렌티노뷰티 본 인 로마 옐로우 우오모,"기분 좋은 달콤함이 느껴지는 향수예요. 시나몬 비스킷이 연상되는 스파이시한 바닐라 향이 나는데요, 그와는 대조적인 프레쉬하고 서늘한 플로럴 라벤더 향이 공존하고 있어서 매력적입니다.",Valentino Beauty Born in Roma Yellow Uomo
발렌티노뷰티 본 인 로마 코랄,"입에 침이 고일만큼 새콤한 과일향이 풍성하게 퍼집니다. 잘 익은 오렌지랑 키위를 입안 가득 베어본듯한 신선한 향이 저를 반갑게 맞이해주는 거 같더라고요. 그리고 이어서 소프트한 장미와 자스민, 암브레트 시드 향이 하트노트와 잔향에 머물러서 부드러운 생기 발랄함을 느낄 수 있는 플로럴 프리티 계열의 향수입니다.",Valentino Beauty Born in Roma Coral
발렌티노뷰티 본 인 로마 코랄 우오모,레드애플과 세이지 제라늄의 스파이시한 향 그리고 타바코 패출리향의 조화를 이루는 향이에요. 알싸한 향신료로 만들어진 시럽의 절인 붉은 사과가 있다면 딱 이런 향이겠다라는 생각이 드는 향으로 포문을 열고요. 우디하고 스모키한 타바코향이 오래 남는 향수입니다. 성숙하면서 관능리 넘치는 남성을 떠올리게 하는 향인데요.,Valentino Beauty Born in Roma Coral Uomo
조보이 파빌리온 로즈,구어망드의 달콤함이 있으면서 그와는 아주 정반대인 좀 거칠고 다한 이미지의 타바코 향이 나면서도 살짝 외국인한테서 날 것 같아라는 생각이 들면서도 곱게 막 온실속 화초처럼 잘하는 사람이 아니라 산전수전 다 겪든 사람에게서 날 거 같은 그런 이미지의 향을 되게 좋아하는데 정확히 이거 아니에요 정말 좋아하는데 정확히 이거 아니에요 정말 스토리가 있는 타바코는 하셨지만 저는 스토리가 있는 타바코는 하셨지만 저는 좀 부드러운 타바코 향이 났거든요 맞아요 사실 타바코 향이 좀 자칫 너무 매개하고 무거워서 이게 내 몸에 입기에 부담스러운 향으로 발현되기 쉬운 향 조데시 향을 좋아한다면 정말 어렵지 않게 소화할 수 있는 그런 향으로 조연이 돼서 너무 좋았고 이 컨셉트 자체도 저는 참 마음에 들었던게 컨셉이 뭐냐면은 두려움이 없는 해적에서 이제 영감을 받아서 만드는 스타일이라서 진짜 이 컨셉에서 터 이미 내 심장을 지고 흔들었다 처음에 딱 뿌렸을 때는 위스키 향 같은게 살짝 지나가요 그러다가 타바코 향이 훅 나는데 정말 질좋은 시가를 이렇게 좀 피우다가 그 질좋은 시가를 이렇게 좀 피우다가 그 씨가 이렇게 막 이렇게 뭉갠 것처럼 그런 향기가 훅 납니다 그리고 거기에다가 더 재밌는 거는 약간 커피 원두 냄새가 나요 약간 씁쓸하면서도 고소하고 향긋한 그 커피 원두 냄새가 퍼지아요 맞아맞아 그 향기도 살짝 섞였고 거기에 우디 양도 많이 나고 바닐라 양도 살짝 섞였는데 정말 살짝 어 근데 바닐라 과하지 않죠 그냥 부드러워요 뭔가 담백한 바닐라 느낌 달콤한 바닐라가 아니고 단백한 바닐라 향이나요 맞아 아니 단향이 강하지 않아서 바닐라라구 캐라멜 갖고 이런 거는 전혀 아닙니다 나무향 그리고 타바코 향 약간의 커피 원두 그리고 약간의 위스키 이게 섞인 향이라서 저는 이걸 맡으면 어떤 이미지가 떠오르냐 진짜 해적 같아요,Jo Boy Pavilion Rose - Jo Boy
조보이 리멤버 미,은은하게 또 격식 있게 여러분들이 사용하실 수 있는 제품이다 생각이 들고요 아 미지 님한테 나 이 얘기 듣고 계속 그 향 밖에 안 느껴져요 그 향 아니 이거 뿌리다가 아 이거 완전 차이티 향 나지 않아 이러시는 거예요 그 제가 어머 맞네 해가지고 그때부터 계속 이미지가 차이티 밖에 안 생각이 안 들어 차이티 라떼 같은 경우는 말 그대로 라떼고 색상 자체가 좀 브라운 기억이아요 맞 티럴 한 느낌 그래서 어디에 뿌리면 좋을 것 같다는 이미지까지 확실히 연상이 되더라고이 헤링본 자켓을 입고 그 위에다가 얘 헤링본 자켓을 입고 그 위에다가 얘 한번 칙 뿌려주면 어 뭐 활용 정점 느낌 맞 오늘 소봉 님의 옷이 진짜이 느낌 맞 오늘 소봉 님의 옷이 진짜이 느낌 약간 요런 느낌 아 진짜 잘 어울려 여기에서 이제 안경 한번 끼워주면 너무 좋 같아서,Jo Boy Remember Me - Jo Boy
카너 바르셀로나 드라곤,딱 뿌리면 되게 스파이시한 그 블랙 페퍼 향이 확 나거든요 근데 그 모습이 마치 정말 우리가 영화 속에 나오는 용이 막 불을 뿜으면서 막 이렇게 힘차게 움직이는듯한 그런 모습을 연상케 할 정도로 굉장히 강렬하고 뭔 화르륵 타오르는듯한 그런 느낌으로 블랙 페퍼 향이 확 나다가 뒤로 갈수록 신선한 편백나무 향도 나고요 잔향은 조금 더 차분한 우디향으로 남아요 근데 이 우디 양도 뭔가 그런 거 있죠 영화에 보면은 꼭 용들이 오래된 성을 지키는 거 뭔가 꼭 그런 성은 되게 오래된 나무로 이렇게 지어졌나요 그런 영화 속이나 신화 속에 나오는 오래된 나무 성에서 날법한 향이에요,CARNER Barcelona Dragon - CARNER Barcelona
카너 바르셀로나 볼케이노,뿌리자마자 아 굉장히 성숙한 향이다 고혹적인 향이다 섹시한 향이다 생각을 했거든요 그래서 얘는 여러분들이 평소에 아무렇게나 캐주얼할 때 뿌리시고 보다도 파티가 있는 날 뿌리시고 가시면 굉장히 나의 독보적인 섹시한 이미지 그리고 고혹적인 이미지를 보여 드릴 수 있을 것 같아요 날카로운 장미향이 나면서 좀 이렇게 흙이 섞인듯한 그런 느낌이라서 이수에서 어필하는 장음 양은 뭔가 레드립 이렇게 딱 바르고 가면 너무 잘 오릴 것 같은 이게 중성적이다 그면 중성적이 수 있는데 중성적이다 그면 중성적이 수 있는데 중성적이다 그면 중성적이 수 있는데 블랙 원피스인데 이렇게 몸에 실루엣이 다 드러나는 그런 옷차림에도 잘 어울릴 것 같고 저는 파티에 어울릴 거 같은 향이다,CARNER Barcelona Volcano - CARNER Barcelona
