name,향수_note
Lyric Man Amouage Amouage,"Lime, Bergamot, Rose, Angelica, Ginger, Saffron, Orange Blossom, Nutmeg, Galbanum, Musk, Incense, Pine Tree, Sandalwood, Vanilla"
Molecule 02  Escentric Molecules,Ambroxan
Escentric 02  Escentric Molecules,"Ambroxan, Iso E Super, iris, Jasmine"
Jasmin Noir  Bvlgari,"Gardenia, Green Notes, Jasmine Sambac, Almond, Licorice, Tonka Bean, Precious Woods, Amber, Musk, Patchouli"
White Patchouli  Tom Ford,"White Flowers, Coriander, Peony, Bergamot, Ambrette (Musk Mallow), Rose, Jasmine, Patchouli, Incense, Woody Notes"
Five O'Clock Au Gingembre  Serge Lutens,"Tea, Bergamot, Ginger, Cinnamon, Woodsy Notes, Pepper, Honey, Amber, Cacao, Patchouli"
Lyric Woman Amouage Amouage,"Cardamom, Cinnamon, Ginger, Bergamot, Rose, Geranium, Ylang-Ylang, Angelica, Orris Root, Jasmine, Incense, Sandalwood, Musk, Woodsy Notes, Tonka Bean, Patchouli, Oakmoss, Vanilla, Vetiver"
Aqva Pour Homme Marine  Bvlgari,"Grapefruit, Neroli, Mandarin Orange, Petitgrain, Water Notes, Seaweed, Rosemary, Virginia Cedar, Amber"
Elixir Charnel Gourmand Coquin  Guerlain,"Dark Chocolate, Cacao, Rum, Vanilla, Spices, Rose, Pepper"
Sensuous  Estée Lauder,"Lily, Jasmine, Magnolia, Woodsy Notes, Amber, Ylang-Ylang, Sandalwood, white honey, Pepper, Mandarin Orange"
Les Exclusifs de  Sycomore Chanel Chanel,"Vetiver, Tobacco, Cypress, Juniper, Sandalwood, Aldehydes, Pink Pepper, Spicy Notes, Violet"
Pulp  Byredo,"Black Currant, Bergamot, Cardamon, Fig, Red Apple, Tiare Flower, Praline, Peach Blossom, Cedar"
Mukhallat  Montale,"Big Strawberry, Vanilla, Almond, Peru Balsam, Musk"
Un Jardin Apres la Mousson  Hermès,"Ginger, Ginger flower, Cardamom, Pepper, Coriander, Water Notes, Citruses, Vetiver, Floral Notes"
Citizen Queen  Juliette Has A Gun,"Leather, Aldehydes, Bergamot, iris, Rose, Immortelle, Tuberose, Orange Blossom, Powdery Notes, Musk, Labdanum, French labdanum, resins, Vanilla, Ambroxan"
The Beat  Burberry,"Pink Pepper, Mandarin Orange, Cardamom, Bergamot, Tea, iris, Bellflower, White Musk, Vetiver, Cedar"
White Lalique Lalique,"Lemon Leaf, Bergamot, Tamarind, elemi, White Pepper, Nutmeg, Cardamom, Violet, Cedar, Musk, Oakmoss, Amber"
Dark Amber & Ginger Lily  Jo Malone London,"Ginger, Black Cardamom, Pink Pepper, Water Lily, Orchid, Jasmine, Rose, Sandalwood, Black Amber, Kyara Incense (olibanum), Patchouli, Leather"
John Galliano John Galliano,"Aldehydes, Angelica, Bergamot, Violet, iris, Rose, Lavender, Peony, Incense, Amber, Patchouli, Musk, Virginia Cedar"
Acqua di parma Blue Mediterraneo - Mirto di Panarea  Acqua di Parma,"Myrtle, Lemon, Bergamot, Basil, Sea Notes, Jasmine, Rose, Juniper, Cedar, Mastic or Lentisque, Amber"
Cuba Jungle Tiger  Cuba Paris,"Magnolia, iris, Green Mandarin, Violet, Hyacinth, Cashmere Wood, Vetiver"
Musc Noir For Her  Narciso Rodriguez,"Plum, Musk, Heliotrope, Suede"
Molecule 04  Escentric Molecules,Sandalwood
Laguna  Salvador Dali,"Pineapple, Moroccan Lemon, Grapefruit, Peach, Galbanum Leaf, Plum, Mandarin Orange, Raspberry, Italian Iris, Brazilian Rosewood, Jasmine, Lily-of-the-Valley, Egyptian Rose, Coconut, Vanilla, Madagascar Sandalwood, Tonka Bean, Patchouli, Musk, Amber, Cedar"
White Suede  Tom Ford,"Thyme, Tea, Lily-of-the-Valley, Saffron, Rose, Suede, Musk, Sandalwood, Amber, Olibanum"
White Linen  Estée Lauder,"Aldehydes, Lemon, Peach, Hyacinth, Carnation, Lily-of-the-Valley, Rose, Lilac, Jasmine, iris, Orris, Violet, Ylang-Ylang, Orchid, Oakmoss, Vetiver, Cedar, Sandalwood, Benzoin, Honey, Amber, Tonka Bean"
Champai  Holistick,"Champaca, Patchouli"
Bare Vanilla  Victoria's Secret,"Vanilla, Cashmeran"
La Nuit de l'Homme  Yves Saint Laurent,"Cardamom, Lavender, Virginia Cedar, Bergamot, Vetiver, Caraway"
D&G Anthology L'Imperatrice 3  Dolce&Gabbana,"Kiwi, Rhuburb, Pink Pepper, Watermelon, Cyclamen, Jasmine, Lemon Tree, Musk, Sandalwood"
Bal d'Afrique  Byredo,"Amalfi Lemon, Tagetes, Black Currant, Bergamot, African Orange flower, Violet, Cyclamen, Jasmine, Vetiver, Amber, Musk, Virginia Cedar"
A*Men Pure Malt  Mugler,"Fruity Notes, Orange, Bergamot, Malt, Whiskey, Patchouli, Coffee, Cedar, Peat, Vanilla, Amber, Musk"
Back to Black  By Kilian,"white honey, Tobacco, Cherry, Vanilla, Raspberry, Almond, Gingerbread, Amber, Tonka Bean, Nutmeg, Chamomile, Benzoin, Saffron, Cardamom, Patchouli, French labdanum, Olibanum, Oak, Virginia Cedar, Coriander, Geranium, Bergamot"
Grey Vetiver  Tom Ford,"Grapefruit, Orange Blossom, Sage, Nutmeg, Orris Root, Pimento, Vetiver, Woodsy Notes, Oakmoss, Amber"
F by Ferragamo Black  Salvatore Ferragamo,"Lavender, Apple, Black Pepper, Coriander, Tonka Bean, Labdanum"
Terre d'Hermes Parfum  Hermès,"Orange, Grapefruit, Flint, Woodsy Notes, oak moss, Benzoin"
Versense  Versace,"Bergamot, Citruses, Green Mandarin, Fig, Pear, Cardamom, Lily, Jasmine, Narcissus, Virginia Cedar, Olive Tree, Musk, Sandalwood"
Collection Extraordinaire Orchidee Vanille  Van Cleef & Arpels,"Vanilla, Dark Chocolate, Vanilla orchid, Tonka Bean, Bitter Almond, Mandarin Orange, Violet, White Musk, Litchi, Cedar, Bulgarian Rose"
Opium Eau de Parfum 2009  Yves Saint Laurent,"Mandarin Orange, Bergamot, Lily-of-the-Valley, Myrhh, Jasmine, Opoponax, Amber, Patchouli, Vanille"
Feminité du Bois  Serge Lutens,"Virginia Cedar, Plum, Cinnamon, Peach, Clove, Ginger, Ylang-Ylang, Violet, Rose, African Orange flower, Sandalwood, Benzoin, Musk, Vanilla"
Roses Musk  Montale,"Rose, Musk, Jasmine"
Fille en Aiguilles  Serge Lutens,"Pine, Incense, Dried Fruits, Balsam Fir, Spices, Bay Leaf, Vetiver"
Blanche  Byredo,"Aldehydes, Rose, Pink Pepper, Peony, Violet, African Orange flower, Musk, Woodsy Notes, Sandalwood"
Aventus  Creed,"Pineapple, Black Currant, Bergamot, Apple, Birch, Patchouli, Moroccan Jasmine, Rose, Musk, oak moss, Ambergris, Vanille"
Bleu de  Chanel Chanel,"Grapefruit, Lemon, Mint, Pink Pepper, Ginger, Nutmeg, Jasmine, Iso E Super, Incense, Vetiver, Cedar, Sandalwood, Patchouli, Labdanum, White Musk"
Chance Eau Tendre  Chanel,"Quince, Grapefruit, Hyacinth, Jasmine, Musk, iris, Virginia Cedar, Amber"
Portrait of a Lady  Frederic Malle,"Rose, Clove, Raspberry, Black Currant, Cinnamon, Patchouli, Incense, Sandalwood, Musk, Benzoin, Amber"
Acqua di Gioia  Giorgio Armani,"Amalfi Lemon, Mint, Jasmine, Peony, Pink Pepper, Virginia Cedar, French labdanum, Brown sugar"
Guilty Gucci Gucci,"Pink Pepper, Mandarin Orange, Bergamot, Lilac, Peach, Geranium, Jasmine, Black Currant, Patchouli, Amber, White Musk, Vanilla"
Lady Million  Paco Rabanne,"Raspberry, Neroli, Amalfi Lemon, Jasmine, African Orange flower, Gardenia, white honey, Patchouli, Amber"
Not A Perfume  Juliette Has A Gun,"Ambroxan, Cetalox"
Womanity  Mugler,"Fig, Caviar, Fig Tree, Fig Leaf"
The Dreamer  Versace,"Juniper, Tarragon, Artemisia, iris, Lily, Flax, Tobacco blossom, Amber"
Reb'l Fleur  Rihanna,"Peach, Plum, Red Berries, Coconut, Tuberose, Hibiscus, Violet, Vanille, Patchouli, Musk, Amber"
English Pear & Freesia  Jo Malone London,"Pear, Melon, Freesia, Rose, Musk, Patchouli, Rhuburb, Amber"
Memoir Woman  Amouage,"Wormwood, Cardamom, Pink Pepper, Mandarin Orange, Incense, Clove, Woodsy Notes, White Flowers, Rose, Pepper, Jasmine, Leather, French labdanum, Castoreum, Styrax, oak moss, Musk"
Eau Duelle  Diptyque,"Bourbon Vanilla, Elemi resin, Cardamom, Juniper, Olibanum, Pink Pepper, Black Tea, Ambergris, Bergamot, Saffron, Musk"
Essenza di Colonia  Acqua di Parma,"Neroli, Bergamot, Grapefruit, Jasmine, Petitgrain, Orange, Musk, Mandarin Orange, vetyver, Rosemary, Rose, Oakmoss, Lily-of-the-Valley, Cloves, Sage, Patchouli, Amber"
La Tulipe  Byredo,"Freesia, Cyclamen, Rhuburb, pink tulip, Green Notes, vetyver, Woodsy Notes"
Memoir Man  Amouage,"Wormwood, Mint, Basil, Incense, Lavender, Rose, Tobacco, Leather, Sandalwood, Guaiac Wood, Vetiver, oak moss, Amber, Vanille, Musk"
Tonka Imperiale  Guerlain,"Bitter Almond, Rosemary, Bergamot, Tonka Bean, Tobacco, Jasmine, Incense, Cedar, Pine"
Another 13  Le Labo,"Iso E Super, Ambergris, Musk, Ambrette (Musk Mallow), Amyl Salicylate, Pear"
Bombshell  Victoria's Secret,"Passionfruit, Grapefruit, Pineapple, Tangerine, Big Strawberry, Peony, Vanilla orchid, Red Berries, Jasmine, Lily-of-the-Valley, Musk, Woody Notes, Oakmoss"
Bouquet Ideale  Xerjoff,"Cinnamon, Nutmeg, Guaiac Wood, Sandalwood, Virginia Cedar, Papyrus, Vanille, Coumarin, Tobacco blossom, French labdanum, Musk"
Tresor In Love  Lancome,"Nectarine, Pear, Pink Pepper, Bergamot, Taif Rose, Peach, Violet, Jasmine, Musk, Virginia Cedar"
Midnight in Paris  Van Cleef & Arpels,"Leather, Bergamot, Amalfi Lemon, Holly, Rosemary, Tea, Styrax, Lily-of-the-Valley, Tonka Bean, Incense, Benzoin, Almond, Amber"
212 VIP  Carolina Herrera,"Rum, Passionfruit, Gardenia, Musk, Vanille, Tonka Bean"
Tilda Swinton Like This  Etat Libre d'Orange,"Immortelle, Pumpkin, Ginger, Tangerine, Heliotrope, Musk, vetyver, Neroli, Rose"
Flora by  Eau de Parfum Gucci Gucci,"Peony, Citruses, Mandarin Orange, Osmanthus, Rose, Sandalwood, Pink Pepper, Patchouli"
Voyage d'Hermes  Hermès,"Cardamom, Amalfi Lemon, Spices, Tea, Green Notes, Floral Notes, Woodsy Notes, Musk"
Godolphin  Parfums de Marly,"Fruity Notes, Saffron, Thyme, Mate, Cypress, Green Notes, Rose, Orris, Jasmine, Leather, Amber, Virginia Cedar, Vetiver, Musk, Vanille"
Dior Homme Intense 2011  Christian Dior,"Lavender, iris, Ambrette (Musk Mallow), Pear, Virginia Cedar, Vetiver"
Cedrat Boise  Mancera,"Sicilian Lemon, Black Currant, Bergamot, Spicy Notes, Fruity Notes, Patchouli Leaf, Water Jasmine, Cedar, Leather, Sandalwood, Vanilla, Moss, White Musk"
A*Men Pure Havane  Mugler,"Tobacco, white honey, Vanille, Cacao, Patchouli, Amber, French labdanum, Styrax"
Candy Prada Prada,"Caramel, Musk, Powdery Notes, Benzoin, Vanilla"
Le Parfum  Elie Saab,"African Orange flower, Jasmine, white honey, Patchouli, Rose, Virginia Cedar"
Santal 33  Le Labo,"Sandalwood, Papyrus, Leather, Virginia Cedar, Cardamom, Violet, iris, Amber"
Dior Homme  Christian Dior,"Lavender, Bergamot, Sage, iris, Cacao, Amber, Leather, Vetiver, Patchouli"
Jimmy Choo Jimmy Choo,"Pear, Mandarin Orange, Green Notes, Orchid, Toffee, Patchouli"
Tresor Midnight Rose  Lancome,"Raspberry, Rose, Cassis, Pink Pepper, Peony, Jasmine, Vanille, Musk, Virginia Cedar"
Pegasus  Parfums de Marly,"Heliotrope, Cumin, Bergamot, Bitter Almond, Lavender, Jasmine, Vanilla, Sandalwood, Amber"
Bottega Veneta Bottega Veneta,"Pink Pepper, Bergamot, Jasmine, Leather, oak moss, Patchouli"
Lira  Xerjoff,"Blood Orange, Bergamot, Lavender, Cinnamon, Licorice, Jasmine, Caramel, Vanille, Musk"
CK One Shock For Him  Calvin Klein,"Lavender, Clementine, Cucumber, Cardamom, Pepper, Basil, Osmanthus, Tobacco, Amber, Patchouli, Woodsy Notes, Musk"
Roses Vanille  Mancera,"Lemon, Water Notes, Rose, Sugar, Vanilla, Sugar, White Musk, Cedar"
Neroli Portofino  Tom Ford,"Bergamot, Mandarin Orange, Bitter Orange, Lemon, Lavender, Rosemary, Myrtle, African Orange flower, Neroli, Jasmine, Pitosporum, Amber, Angelica, Ambrette (Musk Mallow)"
Legend  Montblanc,"Lavender, Pineapple, Bergamot, Lemon Verbena, Red Apple, Dried Fruits, oak moss, Geranium, Coumarin, Rose, Tonka Bean, Sandalwood"
Body  Burberry,"Peach, Wormwood, Freesia, Rose, Sandalwood, iris, Musk, Cashmere Wood, Vanille, Amber"
Un Jardin Sur Le Toit  Hermès,"Grass, Red Apple, Rose, Pear, Rosemary, Magnolia"
No 19 Poudre Chanel Chanel,"Galbanum, Neroli, Mandarin Orange, iris, Jasmine, Vetiver, Musk, Tonka Bean"
Honour Woman  Amouage,"Rhuburb, Pepper, Coriander, Gardenia, Tuberose, Jasmine, Lily-of-the-Valley, Carnation, Amber, Incense, Opoponax, Vetiver, Leather"
Shalimar Parfum Initial  Guerlain,"Bergamot, Orange, Green Notes, iris, Patchouli, Vetiver, Rose, Jasmine, Vanille, Caramel, Tonka Bean, Musk"
Royal Oud  Creed,"Pink Pepper, Lemon, Sicilian Bergamot, Cedar, Angelica, Galbanum, Sandalwood, Agarwood (Oud), Musk"
Donna (2011) Trussardi Trussardi,"Fruity Notes, Yuzu, Amalfi Lemon, Jasmine, African Orange flower, Lotus, Vanille, Sandalwood, Patchouli, Virginia Cedar"
Jasmin Rouge  Tom Ford,"Cinnamon, Ginger, Bergamot, Cardamom, Pepper, Mandarin Orange, Jasmine, Ylang-Ylang, Neroli, Broom, Clary Sage, Amber, Woodsy Notes, Vanille, Leather, French labdanum"
Eau de Lacoste L.12.12. White  Lacoste Fragrances,"Grapefruit, Rosemary, Cardamom, Ylang-Ylang, Tuberose, Suede, Virginia Cedar, Vetiver, Leather"
Baiser Vole  Cartier,"Lily, Citruses, Lily, Green Lily, Green Notes"
Daisy Eau So Fresh  Marc Jacobs,"Green Notes, Raspberry, Pear, Grapefruit, Violet, Litchi, Apple Blossom, Rose, Jasmine, Musk, Plum, Virginia Cedar"
Wild Bluebell  Jo Malone London,"Bellflower, Clove, Lily-of-the-Valley, Rose Hip, Jasmine, Musk, Amber"
212 VIP Men  Carolina Herrera,"Passionfruit, Lime, Pepper, Ginger, Vodka, Gin, Mint, Spices, Amber, Leather, Woodsy Notes"
Vanille Exquise  Annick Goutal,"Vanilla, Almond, Guaiac Wood, Sandalwood, Angelica, Musk"
Rouge Trafalgar  Christian Dior,"Raspberry, Cherry, Strawberry, Mandarin Orange, Black Currant, Grapefruit, Musk, Patchouli"
Luna Rossa Sport  Prada,"Juniper Berries, Ginger, Lavender, Vanilla, Tonka Bean"
Brut  Brut Parfums Prestige,"Lavender, Anise, Bergamot, Basil, Orange Blossom, Lemon, Ylang-Ylang, Geranium, Jasmine, Coumarin, Musk, Sandalowood, Oakmoss, Tonka Bean, Vanila, Vetiver, Patchouli"
Faqat Lil Rijal  Rasasi,"Agarwood (Oud), Saffron, Bergamot, Geranium, Jasmine, Cardamom, Rice, Agarwood (Oud), Leather, Patchouli, Sandalwood, Musk"
Nio  Xerjoff,"Bergamot, Neroli, Green Notes, Cardamom, Pink Pepper, Jasmine, Nutmeg, vetyver, Virginia Cedar, Guaiac Wood, Amber, Patchouli"
Hafa  Ajmal,"Woody Notes, Patchouli, Dark Chocolate, Vanilla, Amber, Bulgarian Rose, Musk, Jasmine, Ylang-Ylang, Neroli"
Chocolate Covered Cherry  Bath and Body Works,"Cherry, Chocolate, Liquor"
Laudano Nero  Tiziana Terenzi,"Cognac, Tobacco, Amber, Wormwood, Rosemary, Myrtle, Ash, Black locust Honey, Cedar, Slate, Sandalwood, Rosemary, iris, Red Rose, Incense, Agarwood (Oud), Labdanum, Oak, Camphor, Laurels, Vanilla, Cashmere Musk, Musk, Vetiver"
La Capitale  Xerjoff,"Strawberry, Caramel, Peach, Labdanum, Saffron, Leather, Amber, Ginger, Rose, Bourbon Vanilla, Benzoin"
DKNY Women  Donna Karan,"Tomato Leaf, Orange, Mandarin Orange, Apricot, Cassia, Water Lily, Yellow Water Lily, Yellow Narcissus, Jasmine, Heliotrope, Ylang-Ylang, Rose, Orchid, Birch, Suede, Sandalwood, Patchouli, Amber"
Toy 2  Moschino,"Apple, Mandarin Orange, Magnolia, White Currant, Peony, Jasmine, Musk, Sandalwood, Amberwood"
Derby  Guerlain,"Bergamot, Orange, Carnation, Spices, Exotic Woods, Leather, Birch, Woody Notes, Patchouli"
Aimer  Pascal Morabito,"Raspberry, Tangerine, Ginger flower, Rose, Neroli, Gardenia, Dulce de leche, Benzoin, Sandalwood"
La Vie en Fleurs 2022  Bienaimé,"Raspberry, Mandarin Orange, Violet, Peony, Rose, Heliotrope, Iris, White Musk"
La Vie en Fleurs  Bienaimé,"white floral, floral, powdery, woody, citrus, aromatic, musky, fresh, animalic, warm spicy, Bergamot, Tarragon, Sicilian Lemon, Orange Blossom, Jasmine, Tuberose, Lily-of-the-Valley, Violet, Rose, Carnation, Lilac, Oakmoss, Sandalwood, Civet, Cedar, Musk, Orris, Tonka Bean"
Cèdre & Iris Soyeux 100 Bon,"woody, powdery, iris, earthy, amber, violet, aromatic, citrus, warm spicy, Neroli, Orange, Cedar, Iris, Powdery Notes, Vetiver, Benzoin, Incense"
Snickarboden 109 Parfums,"woody, leather, aromatic, smoky, sweet, Birch, Maple sap, Oak, Sandalwood, Cedar, Pine"
Smoked Wood 1667,"woody, aromatic, citrus, smoky, fresh spicy, herbal, Mandarin Orange, Thyme, Woody Notes, Smoke"
Female Christ 19-69,"woody, amber, warm spicy, patchouli, aromatic, balsamic, vanilla, camphor, earthy, fresh spicy, Patchouli, Eucalyptus, Pimento, Rhubarb, Wintergreen, Red Thyme, Geranium, Amber, Cashmere Wood, Benzoin, Vanilla, Cinnamon"
Bodhi Language 4160 Tuesdays,"woody, whiskey, oud, floral, Bergamot, Buddha Wood, Whiskey, Boronia, Malt, Gardenia, White Oud, Sandalwood, Cedar, Ambergris"
Invisible Ben 4160 Tuesdays,"citrus, woody, amber, sweet, balsamic, warm spicy, Lime, Orange, Cognac, Cashmere Wood, Sandalwood, Coffee, Opoponax, Resins"
Up The Apples & Pears 4160 Tuesdays,"woody, fruity, green, whiskey, fresh, aromatic, aquatic, sweet, Apple, Pear, Hops, Gin, Whiskey, Woody Notes, Bread"
WD/18 A. N. OTHER,"woody, aromatic, warm spicy, powdery, aquatic, fruity, iris, Pear, Cardamom, Violet Leaf, Orris Root, Cypress, Amyris, Sandalwood, White Cedar Extract, Madagascar Vetiver"
FL/18 A.N. Other,"leather, amber, warm spicy, woody, white floral, aromatic, musky, animalic, metallic, fresh spicy, Saffron, Coton candy, elemi, Mate, Jasmine, Ambrette (Musk Mallow), Leather, Amberwood, Cashmere Musk, Labdanum"
ADAM AAP PERFUMES,"fruity, warm spicy, amber, woody, sweet, fresh, leather, powdery, rose, patchouli, Raspberry, Saffron, Litchi, Turkish Rose, Olibanum, Red Berries, Red Currant, Violet, Agarwood (Oud), Leather, Patchouli, Amber, Sandalwood"
ATH x FM Smoulder Aaron Terence Hughes,"woody, amber, warm spicy, fresh spicy, citrus, tobacco, powdery, balsamic, aromatic, patchouli, Neroli, Lemon, Olibanum, Tobacco, Olibanum, Sandalwood, Patchouli, Skin"
Cedarwood and Bergamot Aaron Terence Hughes,"citrus, aromatic, woody, amber, white floral, fresh spicy, lavender, earthy, Mandarin Orange, Bergamot, Lavender, Neroli, Sicilian Lemon, Vetiver, Jasmine Sambac, Amber, Cedar"
Mukhallat Thai-Zone Abdul Karim Al Faransi,"woody, oud, green, animalic, Bamboo, Green Leaves, Woody Notes, Thailand Oud"
Oud Borneo Abdul Karim Al Faransi,"woody, smoky, oud, patchouli, vanilla, warm spicy, Woody Notes, Patchouli, Vanilla, Smoke, Agarwood (Oud), Woody Notes"
Oud Cambodi Abdul Karim Al Faransi,"woody, amber, oud, animalic, warm spicy, balsamic, sweet, smoky, Resins, Agarwood (Oud), Incense, Woody Notes, Sweet Notes, Cambodian Oud"
Oud Hindi Abdul Karim Al Faransi,"oud, leather, woody, earthy, amber, honey, animalic, balsamic, smoky, sweet, Earthy Notes, Woody Notes, Honey, Leather, Wood Resin, Indian Oud"
Oud Hindi Royal Abdul Karim Al Faransi,"oud, woody, sweet, honey, fruity, chocolate, warm spicy, Honey, Dark Chocolate, Woody Notes, Plum, Indian Oud"
Oud Kalimantan Abdul Karim Al Faransi,"woody, oud, patchouli, amber, balsamic, warm spicy, smoky, vanilla, earthy, Woody Notes, Patchouli, Vanilla, Agarwood (Oud), Incense"
Safeer Al Oud Abdul Karim Al Faransi,"sweet, woody, aromatic, fresh spicy, Woody Notes, Green Notes, Mint, Woody Notes, Sweet Notes, Woody Notes, Green Notes"
Sheikh Al Faransi Abdul Karim Al Faransi,"amber, woody, sweet, oud, animalic, floral, balsamic, powdery, Amber, Woody Notes, Ambergris, Sweet Notes, Floral Notes, Agarwood (Oud), Sandalwood"
Singapore Abdul Karim Al Faransi,"woody, green, fresh spicy, oud, white floral, musky, aromatic, fresh, conifer, Fir, Herbal Notes, Jasmine, Bamboo, Woody Notes, Agarwood (Oud), Musk"
Red Santal Abel,"warm spicy, fresh spicy, woody, aromatic, citrus, Cloves, Black and Pink Pepper, Ginger, Thyme, Bergamot, Sandalwood, Australian Sandalwood"
Madeira do Oriente Classic Abelha Rainha,"woody, musky, warm spicy, fresh spicy, amber, powdery, Oriental notes, Spices, Pepper, Myrrh, Woodsy Notes, Cedar, Musk, Amber, Guaiac Wood"
Idillio Acca Kappa,"woody, amber, patchouli, warm spicy, powdery, balsamic, animalic, earthy, Rose, Sage, Chamomile, Patchouli, Sandalwood, Cedar, Amberwood, Amber, Leather, Vanilla, Tonka Bean, Musk"
Colonia Ebano Acqua di Parma,"woody, warm spicy, honey, amber, aromatic, citrus, earthy, balsamic, patchouli, Resins, Red Pepper, Petitgrain, Bergamot, Ebony, Honey, Vetiver, Patchouli"
Colonia Intensa Acqua di Parma,"citrus, warm spicy, aromatic, woody, fresh, fresh spicy, amber, leather, Calabrian bergamot, Ginger, Cardamom, Sicilian Lemon, Neroli, Artemisia, Myrtle, Leather, Cedar, Benzoin, Musk, Patchouli"
Colonia Intensa Oud Eau de Cologne Concentree Acqua di Parma,"oud, leather, citrus, aromatic, animalic, fresh, fresh spicy, woody, musky, smoky, Citruses, Agarwood (Oud), Coriander, Amyris, Leather, Musk"
Cedre Royal Acqua Reale,"woody, citrus, aromatic, earthy, leather, powdery, smoky, Pink Pepper, Bergamot, Citruses, Florida Grapefruit, Himalayan Cedar, Vetiver, Birch, Patchouli, Vanila, Amber, Musk"
Dilema Adi Ale Van,"woody, leather, warm spicy, amber, patchouli, balsamic, animalic, sweet, Saffron, Bergamot, Myrrh, Licorice, Leather, Papyrus, Woody Notes, Patchouli"
Ormolu Penhaligon's,"woody, powdery, floral, green, citrus, mossy, yellow floral, white floral, violet, rose, Bergamot, Mugwort, Chamomile, Herbal Notes, Rose, Jasmine, Ylang-Ylang, Violet, Amber, Sandalwood, Oakmoss, Musk"
Luna Penhaligon's,"citrus, aromatic, fresh spicy, rose, woody, fresh, floral, Lemon, Bergamot, Bitter Orange, Rose, Juniper Berries, Jasmine, Balsam Fir, Musk, Ambergris"
Sakura Dior,"floral, powdery, fresh, green, rose, musky, violet, yellow floral, Green Notes, Japanese Cherry Blossom, Rose, Jasmine, Hedione, Mimosa, White Musk, Violet"
Miss Dior Blooming Bouquet Dior,"floral, rose, fresh, fruity, musky, citrus, powdery, sweet, Sicilian Mandarin, Pink Peony, Damask Rose, Apricot, Peach, White Musk"
Miss Dior Blooming Bouquet (2023) Dior,"floral, rose, fresh, musky, citrus, sweet, Sweet Pea, Bergamot, Peony, Damask Rose, White Musk"
Potpourri Santa Maria Novella,"aromatic, fresh spicy, warm spicy, woody, balsamic, patchouli, amber, lavender, camphor, Laurels, Bergamot, Bitter Orange, Cloves, Thyme, Rosemary, Lavender, Peru Balsam, Patchouli, Cedar"
Angels of Florence Santa Maria Novella,"white floral, fruity, ozonic, aromatic, sweet, aquatic, citrus, woody, green, floral, Lime, Gardenia, African Orange Flower, Geranium, Lilac, Jasmine, Rose, Ylang-Ylang, Cyclamen, Violet Leaf, Melon, Peach, Cassis, Plum, Vetiver, Musk, Vanille, Sandalwood"
Fresia Santa Maria Novella,"floral, powdery, musky, violet, Freesia, Violet, Rose de Mai, Western Skunk Cabbage, Musk, Iris"
Hwyl Aesop,"woody, aromatic, fresh spicy, earthy, amber, warm spicy, mossy, Spices, Thyme, Cypress, Woody Notes, Vetiver, Olibanum, Oakmoss"
Fucking Fabulous Tom Ford,"aromatic, leather, vanilla, almond, amber, woody, lavender, sweet, powdery, nutty, Lavender, Clary Sage, Leather, Bitter Almond, Vanilla, Orris, Leather, Tonka Bean, Cashmeran, White Woods, Amber"
Wild Bluebell (2020) Jo Malone London,"white floral, musky, rose, fresh, powdery, green, floral, Clove, Bluebell, Lily-of-the-Valley, Rose Hip, Jasmine, Musk, White Amber"
Inflorescence Byredo,"white floral, floral, fresh, green, Pink Freesia, Rose, Lily-of-the-Valley, Magnolia, Jasmine"
From the Garden Maison Martin Margiela,"aromatic, fresh spicy, green, citrus, patchouli, warm spicy, Tomato Leaf, Green Mandarin, Geranium, Patchouli"
Pleasures Intense Estée Lauder,"white floral, floral, fresh, rose, woody, soft spicy, fruity, sweet, Green Lily, Peony, Black Currant, Ylang-Ylang, Cassis, Lily, Jasmine, Tiare Flower, Moroccan Rose, Maple, Vanilla, Styrax, Benzoin"
Tangier Vanille Aerin Lauder,"vanilla, powdery, amber, woody, musky, citrus, rose, balsamic, sweet, animalic, Vanilla, Bergamot, Rose, Amber, Sandalwood, Musk"
Red for Men Giorgio Beverly Hills,"aromatic, fresh spicy, herbal, woody, leather, mossy, warm spicy, earthy, floral, amber, Artemisia, Caraway, Basil, Bergamot, Carnation, Juniper Berries, Thyme, Geranium, Rose, Jasmine, Leather, Oakmoss, Amber, Patchouli, Cedar"
Noir Kogane Giorgio Armani,"leather, tobacco, aromatic, warm spicy, earthy, animalic, woody, sweet, metallic, balsamic, Tobacco, Haitian Vetiver, Saffron, elemi, Leather"
Iberian Leather Memo Paris,"woody, aromatic, warm spicy, fresh spicy, leather, earthy, oud, powdery, animalic, patchouli, Geranium, Coriander, Rosemary, Bergamot, Saffron, Clove, Iris, Cinnamon, Osmanthus, Jasmine, Rose, Lily-of-the-Valley, Leather, Agarwood (Oud), Patchouli, Vetiver, Oakmoss, Sandalwood, Balsam Fir, Cedar, Amber, Musk, Vanilla"
Virgin Island Water Creed,"citrus, sweet, coconut, vanilla, lactonic, rum, fresh spicy, woody, Coconut, Lime, White Bergamot, Sicilian Mandarin, Ginger, Ylang-Ylang, Indian Jasmine, Hibiscus, White Rum, Sugar Cane, Musk"
Rose Pompon Eau de Parfum 2020 Goutal,"rose, fruity, powdery, sweet, vanilla, violet, floral, Raspberry, Grapefruit, Black Currant, Pink Pepper, Bulgarian Rose, Taif Rose, Violet, Vanilla, Indonesian Patchouli Leaf, Amber, Benzoin, Resin"
